하천기본계획코드,일련번호,하천기본계획 사업명,수립년도,시설물명,하천명,하천등급,상세주소,주소,유역면적,보호면적,시행기관,본류하천_유역면적,본류하천_홍수량,본류하천_계획빈도,제방고,계획홍수위,부지표고,기계실바닥표고,전기실바닥표고,배수장_최대배수량,배수장_계획빈도,초기흡입수위,전동기,펌프규격,전양정,실양정,토출수위,시설관리자,구분,배수문규격,배수문바닥표고,간선수로,지선수로,유수지표고_HWL,유수지표고_LWL,유수지면적,유수지용량
1.03E+12,64,안양천권역 하천기본계획,2015,시흥,시흥천,지방하천,서울시 금천구 시흥동 555-3,,0.8,,,,,,,,,,,23.5,30,9.6,450×7 500×3,,,,,금천구,,,,,,,,2247,7647
1.03E+12,91,안양천권역 하천기본계획,2015,도림2펌프장,대방천,지방하천,서울시 영등포구 도림동 254,,1.5,,,,,,,13.5,,,,29.1,30,7.9,500 × 4 560 × 3,1200 × 4 1500 × 3,,,,영등포구,도림동 배수문(외-1),1.8x2.5@2,,,,,,,
1.03E+12,90,안양천권역 하천기본계획,2015,도림2펌프장,대방천,지방하천,서울시 영등포구 도림동 254,,1.5,,,,,,,13.5,,,,29.1,30,7.9,500 × 4 560 × 3,1200 × 4 1500 × 3,,,,영등포구,도림동 2중수문,4.0x2.5@1,,,,,,,
1.03E+12,89,안양천권역 하천기본계획,2015,대림2동 빗물펌프장,도림천,지방하천,서울시 영등포구 대림2동 995-5,,0.2,120000,,42.5,484,100,17.64,15.91,,,,5.6,10,9.6,250×2 250×1,1000×2 1000×1,,,11.4,영등포구,대림2동 하수관수문,D600@1,8.9,,,,,,
1.03E+12,88,안양천권역 하천기본계획,2015,대림2동 빗물펌프장,도림천,지방하천,서울시 영등포구 대림2동 995-5,,0.2,120000,,42.5,484,100,17.64,15.91,,,,5.6,10,9.6,250×2 250×1,1000×2 1000×1,,,11.4,영등포구,대림2동 배수문(외),2.1×1.5@1,8.9,,,,,,
1.03E+12,87,안양천권역 하천기본계획,2015,대림2동 빗물펌프장,도림천,지방하천,서울시 영등포구 대림2동 995-5,,0.2,120000,,42.5,484,100,17.64,15.91,,,,5.6,10,9.6,250×2 250×1,1000×2 1000×1,,,11.4,영등포구,대림2동 배수문(내),2.1×1.5@1,8.9,,,,,,1000
1.03E+12,86,안양천권역 하천기본계획,2015,대림3동 빗물펌프장,도림천,지방하천,서울시 영등포구 대림3동 611,,2.5,555000,,42.5,549,100,14.57,14.07,,,,57.1,30,7.2,550×7  400×1 600×2 1500×2,1350×7 1100×1 1350×2 2000×2,,,9,영등포구,대림3동 배수문,3.0m×2.5m@3,6.4,,,,,16128,33650
1.03E+12,85,안양천권역 하천기본계획,2015,문래 빗물펌프장,도림천,지방하천,서울시 영등포구 문래동5가 32,,0.8,307000,,42.5,747,100,14.24,14.07,,,,23.9,10,4.8,900×4 250×1,1500×4 1000×1,,,7,영등포구,문래 배수문(외-2),2.1×2.18@1,4.6,,,,,,
1.03E+12,84,안양천권역 하천기본계획,2015,문래 빗물펌프장,도림천,지방하천,서울시 영등포구 문래동5가 32,,0.8,307000,,42.5,747,100,14.24,14.07,,,,23.9,10,4.8,900×4 250×1,1500×4 1000×1,,,7,영등포구,문래 배수문(외-1),2.1×2.18@1,4.6,,,,,,
1.03E+12,83,안양천권역 하천기본계획,2015,문래 빗물펌프장,도림천,지방하천,서울시 영등포구 문래동5가 32,,0.8,307000,,42.5,747,100,14.24,14.07,,,,23.9,10,4.8,900×4 250×1,1500×4 1000×1,,,7,영등포구,문래 배수문(내-2),2.1×2.18@1,4.6,,,,,,
